,Brand,Product,Wellcome,PARKnSHOP,Market_Place,Watsons,Aeon,DCH Food Mart,Best_Price,Quantity,Best Unit Price
0,Yanjing Beer,Draft - Can 330mL x 12,29.0,,,,,,29.0,12,2.42
1,Tsingtao Beer,Draft - Bottle 640mL,7.5,8.5,,,,,7.5,1,7.5
2,Tsingtao Beer,Bottle 640mL,14.9,14.9,14.9,,17.0,,14.9,1,14.9
3,Tsingtao Beer,Draft - Can 500mL x 4,24.9,26.9,24.9,,,,24.9,4,6.22
4,Tsingtao Beer,Can 500mL,,10.9,,,,,10.9,1,10.9
5,Tsingtao Beer,Can 330mL x 6,41.9,41.9,41.9,,,,41.9,6,6.98
6,Tsingtao Beer,Can 330mL x 12,76.9,76.9,76.9,,,,76.9,12,6.41
7,Tiger,Beer - Can 330mL x 4,,26.9,,,,,26.9,4,6.72
8,Tiger,Beer - Can 330mL x 12,69.9,69.9,,,,,69.9,12,5.83
9,Tiger Balm,Soft Cream 50g,57.5,,57.5,57.5,,,57.5,1,57.5
10,Stella Artois,Beer - Bottle 330mL x 6,69.9,69.9,69.9,,,,69.9,6,11.65
11,Stella Artois,Beer - Bottle 330mL,,,,,,,,1,
12,Stella Artois,Beer - Can 500mL x 4,59.9,53.9,59.9,,,,53.9,4,13.48
13,Sol,Beer - Bottle 330mL,,10.0,,,,,10.0,1,10.0
14,3M Ultrathon,Insect Repellent Aerosol 6oz 170g,,49.9,,,,,49.9,1,49.9
15,Nin Jiom,Coolmate - Caulis Dendrobii Drink (Lime Flavor) 6g x 4 sachets,25.2,21.9,,21.9,,,21.9,4,5.47
16,Friso,Gold 1 Frisolac - 900g,326.0,326.0,,291.0,326.0,,291.0,1,291.0
17,Friso,Carton Pack Gold 1 Frisolac (400g x 3 bags) 1200g,422.0,422.0,422.0,375.0,422.0,,375.0,3,125.0
18,Nestle Nescafe,Rich Blend Soluble Coffee 200g,56.8,56.9,56.8,,56.9,,56.8,1,56.8
19,Nestle Nescafe,Rich Blend Soluble Coffee - Can 500g,114.9,114.9,114.9,,,,114.9,1,114.9
20,Skol Beer,Bottle 640mL,,12.4,,,,,12.4,1,12.4
21,Skol Beer,Can 500mL x 4,24.9,25.9,24.9,,,,24.9,4,6.22
22,Skol Beer,Can 330mL x 6,,29.9,,,29.9,,29.9,6,4.98
23,Skol Beer,Can 330mL x 12,50.0,54.9,,,,,50.0,12,4.17
24,San Miguel,Pale Pilsen Beer - Bottle 640mL,16.9,16.9,16.9,,,,16.9,1,16.9
25,San Miguel,Pale Pilsen Beer - Bottle (Imported - Philippines) 320mL,9.9,9.5,9.9,,,,9.5,1,9.5
26,San Miguel,Pale Pilsen Beer - King Can 500mL x 4,33.9,34.9,33.9,,,,33.9,4,8.48
27,San Miguel,Pale Pilsen Beer - Can 330mL x 12,73.9,79.9,73.9,,,,73.9,12,6.16
28,San Mig,Light Beer - Can 500mL x 4,33.9,34.9,33.9,,,,33.9,4,8.48
29,San Mig,Light Beer - Can 330mL x 6,48.9,48.9,48.9,,,,48.9,6,8.15
30,Kirin,Ichiban Beer - Bottle 600mL,16.9,16.9,,,,,16.9,1,16.9
31,Kirin,Lager Beer - Can 500mL x 6,,75.9,,,75.9,,75.9,6,12.65
32,Kirin,Ichiban Beer - Can 330mL x 6,,52.9,,,52.9,,52.9,6,8.82
33,Kingway,Beer - Bottle 600mL,6.9,7.9,,,,,6.9,1,6.9
34,Kingway,Beer - Green Can 330mL,,3.5,,,,,3.5,1,3.5
35,Heineken,Lager Beer - Bottle 650mL,,15.9,13.9,,16.5,,13.9,1,13.9
36,Heineken,Lager Beer - Bottle 330mL x 6,64.9,64.9,64.9,,,,64.9,6,10.82
37,Heineken,Lager Beer - Can 500mL x 4,34.9,,34.9,,44.9,,34.9,4,8.73
38,Heineken,Lager Beer - Can 330mL x 6,49.9,49.9,,,55.5,,49.9,6,8.32
39,Heineken,Lager Beer - Can 330mL x 12,79.9,84.9,79.9,,,,79.9,12,6.66
40,Guinness,Foreign Extra Stout - Bottle 650mL,25.5,,25.5,,,,25.5,1,25.5
41,Guinness,Foreign Extra Stout - Bottle 330mL,14.9,14.9,14.9,,,,14.9,1,14.9
42,Guinness,Foreign Extra Stout - Can 330mL x 4,47.9,49.9,47.9,,,,47.9,4,11.98
43,Corona Extra,Beer - Bottle 355mL x 6,69.9,69.9,69.9,,,,69.9,6,11.65
44,Carlsberg,Beer - Can 500mL x 4,36.9,34.9,36.9,,,,34.9,4,8.73
45,Carlsberg,Beer - Can 330mL x 6,48.9,43.9,,,43.9,,43.9,6,7.32
46,Carlsberg,Beer - Can 330mL x 12,69.0,84.9,69.0,,,,69.0,12,5.75
47,Blue Girl,Beer - Bottle 640mL,24.9,24.9,24.9,,27.9,,24.9,1,24.9
48,Blue Girl,Beer - Bottle 330mL,13.9,16.2,13.9,,15.9,,13.9,1,13.9
49,Blue Girl,Beer - Can 500mL x 4,45.9,49.9,45.9,,,,45.9,4,11.48
50,Blue Girl,Beer - Can 330mL x 6,66.9,66.9,66.9,,69.9,,66.9,6,11.15
51,Blue Girl,Beer - Can 330mL x 12,118.0,118.0,118.0,,,,118.0,12,9.83
52,Budweiser,Beer - Can 500mL x 4,42.9,40.0,42.9,,42.0,,40.0,4,10.0
53,Budweiser,Beer - Can 330mL x 12,87.9,87.9,87.9,,,,87.9,12,7.33
54,Blue Ice,Beer - King Can 500mL x 4,22.5,22.9,22.5,,,,22.5,4,5.62
55,Blue Ice,Beer - Can 330mL x 6,,25.5,,,,,25.5,6,4.25
56,Blue Ice,Beer - Can 330mL x 12,48.9,,,,,,48.9,12,4.08
57,Asahi,Super Dry Beer - Bottle 640mL,21.9,21.9,,,,,21.9,1,21.9
58,Asahi,Super Dry Beer - Bottle 330mL,,13.9,,,,,13.9,1,13.9
59,Asahi,Super Dry Beer - Can 500mL x 4,48.9,48.9,48.9,,,,48.9,4,12.23
60,Asahi,Super Dry Beer - Can 330mL x 6,,55.9,,,,,55.9,6,9.32
61,Asahi,Super Dry Beer - Can 330mL x 12,105.0,105.0,105.0,,,,105.0,12,8.75
62,Asahi Kasei,Food Wrapping Film (Microwaveable) 65.6ft,,16.9,,,15.3,,15.3,1,15.3
